days,daily_dust_count,daily_dust_std
2020/06/15,NaN,NaN
2020/06/16,NaN,NaN
2020/06/17,NaN,NaN
2020/06/18,NaN,NaN
2020/06/19,NaN,NaN
2020/06/20,NaN,NaN
2020/06/21,NaN,NaN
2020/06/22,NaN,NaN
2020/06/23,NaN,NaN
2020/06/24,NaN,NaN
2020/06/25,NaN,NaN
2020/06/26,NaN,NaN
2020/06/27,NaN,NaN
2020/06/28,NaN,NaN
2020/06/29,17,0
2020/06/30,25,0.316227766016838
2020/07/01,18,0
2020/07/02,7,0.316227766016838
2020/07/03,20,0
2020/07/04,16.5,0.823272602348565
2020/07/05,8,0
2020/07/06,14,0.316227766016838
2020/07/07,19,0
2020/07/08,19,0.421637021355784
2020/07/09,15,0
2020/07/10,12.5,1.15470053837925
2020/07/11,10,0
2020/07/12,11,0
2020/07/13,13.5,0.699205898780101
2020/07/14,4,0
2020/07/15,7,0
2020/07/16,6,0
2020/07/17,3,0
2020/07/18,8,0
2020/07/19,2,0
2020/07/20,13,0.421637021355784
2020/07/21,19,0
2020/07/22,9,0.421637021355784
2020/07/23,12,0.737864787372622
2020/07/24,8,0
2020/07/25,6,0
2020/07/26,5,0
2020/07/27,NaN,NaN
2020/07/28,NaN,NaN
2020/07/29,NaN,NaN
2020/07/30,NaN,NaN
2020/07/31,NaN,NaN
2020/08/01,NaN,NaN
2020/08/02,NaN,NaN
2020/08/03,NaN,NaN
2020/08/04,NaN,NaN
2020/08/05,NaN,NaN
2020/08/06,NaN,NaN
2020/08/07,NaN,NaN
2020/08/08,NaN,NaN
2020/08/09,NaN,NaN
2020/08/10,NaN,NaN
2020/08/11,NaN,NaN
2020/08/12,NaN,NaN
2020/08/13,NaN,NaN
2020/08/14,NaN,NaN
2020/08/15,NaN,NaN
2020/08/16,NaN,NaN
2020/08/17,NaN,NaN
2020/08/18,NaN,NaN
2020/08/19,4,1.4142135623731
2020/08/20,7,0
2020/08/21,6,0.316227766016838
2020/08/22,6,0
2020/08/23,9,0.483045891539648
2020/08/24,10,0.483045891539648
2020/08/25,6,0
2020/08/26,5,0
2020/08/27,9,0
2020/08/28,5,0
2020/08/29,5,0
2020/08/30,3,0
2020/08/31,9,0
2020/09/01,8,0
2020/09/02,6,0
2020/09/03,2,0
2020/09/04,5,0
2020/09/05,9,0
2020/09/06,5,0
2020/09/07,NaN,NaN
2020/09/08,NaN,NaN
2020/09/09,NaN,NaN
2020/09/10,NaN,NaN
2020/09/11,NaN,NaN
2020/09/12,NaN,NaN
2020/09/13,NaN,NaN
2020/09/14,9,0
2020/09/15,7,0
2020/09/16,9,0
2020/09/17,10,0.316227766016838
2020/09/18,3,0
2020/09/19,11,0
2020/09/20,2,0
2020/09/21,4,0
2020/09/22,2,0
2020/09/23,5,0
2020/09/24,10,0
2020/09/25,2,0
2020/09/26,5,0
2020/09/27,7,0.421637021355784
2020/09/28,5,0
2020/09/29,2,0
2020/09/30,4,0
2020/10/01,6,0
2020/10/02,6,0
2020/10/03,11.5,0.52704627669473
2020/10/04,6,0
2020/10/05,4,0
2020/10/06,3,0
2020/10/07,6,0.421637021355784
2020/10/08,5,0
2020/10/09,6.5,0.52704627669473
2020/10/10,6,0
2020/10/11,6,0.316227766016838
2020/10/12,5,0
2020/10/13,5,0
2020/10/14,4,0
2020/10/15,8,0
2020/10/16,5,0.316227766016838
2020/10/17,9,0.421637021355784
2020/10/18,5,0
2020/10/19,8,0
2020/10/20,4,0
2020/10/21,9,0
2020/10/22,6,0
2020/10/23,3,0
2020/10/24,6,0
2020/10/25,7,0
2020/10/26,5,0
2020/10/27,8,0
2020/10/28,8,0.516397779494322
2020/10/29,8,0.483045891539648
2020/10/30,3,0.516397779494322
2020/10/31,11,0.421637021355784
2020/11/01,7,0.707106781186548
2020/11/02,11,0
2020/11/03,4,0
2020/11/04,5,0.316227766016838
2020/11/05,3,0
2020/11/06,13.5,0.52704627669473
2020/11/07,10,0
2020/11/08,7,0
2020/11/09,12,0
2020/11/10,5,0
2020/11/11,7,0
2020/11/12,9,0.316227766016838
